,imdbID,Title,Domestic Gross,Opening Weekend,Domestic Multiplier,Rotten Tomatoes Score,Metascore,imdbRating,imdbVotes,Year,Month,budget,popularity,vote_average,vote_count
0,tt0114709,Toy Story,191796233.0,29140617.0,6.5817492127912045,100.0,95.0,8.3,820774.0,1995,10.0,30000000.0,21.946943,7.7,5415.0
1,tt0113497,Jumanji,100475249.0,11084370.0,9.06458815431098,54.0,39.0,7.0,276338.0,1995,12.0,65000000.0,17.015539,6.9,2413.0
2,tt0113228,Grumpier Old Men,71518503.0,7797185.0,9.17234912343365,17.0,46.0,6.7,22673.0,1995,12.0,,11.7129,6.5,92.0
3,tt0114885,Waiting to Exhale,67052156.0,14126927.0,4.7464077644062295,56.0,,5.9,8898.0,1995,12.0,16000000.0,3.859495,6.1,34.0
4,tt0113041,Father of the Bride Part II,76594107.0,11134978.0,6.8786940575904145,48.0,49.0,6.0,31909.0,1995,2.0,,8.387519000000001,5.7,173.0
5,tt0113277,Heat,67436818.0,8445656.0,7.984793365962336,86.0,76.0,8.2,534691.0,1995,12.0,60000000.0,17.924927,7.7,1886.0
6,tt0114319,Sabrina,53672080.0,5563259.0,9.647596849256884,65.0,56.0,6.3,34479.0,1995,12.0,58000000.0,6.677277,6.2,141.0
7,tt0112302,Tom and Huck,23920048.0,3210458.0,7.450665294484463,25.0,,5.5,9217.0,1995,12.0,,2.5611610000000002,5.4,45.0
8,tt0114576,Sudden Death,20350171.0,4782445.0,4.255181397799661,51.0,,5.8,30329.0,1995,12.0,35000000.0,5.23158,5.5,174.0
9,tt0113189,GoldenEye,106429941.0,26205007.0,4.061435320356908,77.0,65.0,7.2,225957.0,1995,11.0,58000000.0,14.686035999999998,6.6,1194.0
10,tt0112346,The American President,60079496.0,10014558.0,5.999215941432463,91.0,67.0,6.8,48913.0,1995,11.0,62000000.0,6.318445,6.5,199.0
11,tt0112896,Dracula: Dead and Loving It,10772144.0,2708298.0,3.977458905925419,11.0,,5.9,36585.0,1995,12.0,,5.430331,5.7,210.0
12,tt0112453,Balto,11348324.0,1519755.0,7.467206227319535,54.0,,7.1,37265.0,1995,12.0,,12.140733,7.1,423.0
13,tt0113987,Nixon,13681765.0,2206506.0,6.200647086389069,74.0,66.0,7.1,27392.0,1995,12.0,44000000.0,5.092,7.1,72.0
14,tt0112760,Cutthroat Island,10017322.0,2371415.0,4.224196102327092,38.0,37.0,5.7,24621.0,1995,12.0,98000000.0,7.284477000000001,5.7,137.0
15,tt0112641,Casino,42512375.0,9946480.0,4.274112550369578,80.0,73.0,8.2,425566.0,1995,11.0,52000000.0,10.137389,7.8,1343.0
16,tt0114388,Sense and Sensibility,43182776.0,721341.0,59.864579997532374,98.0,84.0,7.6,94459.0,1995,12.0,16500000.0,10.673167,7.2,364.0
17,tt0113101,Four Rooms,4257354.0,427733.0,9.953297968592556,14.0,,6.8,92819.0,1995,12.0,4000000.0,9.026586,6.5,539.0
18,tt0112281,Ace Ventura: When Nature Calls,108385533.0,37804076.0,2.867032988717936,32.0,45.0,6.4,191092.0,1995,11.0,30000000.0,8.205447999999999,6.1,1128.0
19,tt0113845,Money Train,35431113.0,10608297.0,3.3399435366487196,22.0,,5.7,37037.0,1995,11.0,60000000.0,7.3379059999999985,5.4,224.0
20,tt0113161,Get Shorty,72101622.0,12700007.0,5.677289941651213,87.0,82.0,6.9,71974.0,1995,10.0,30250000.0,12.669608,6.4,305.0
21,tt0112722,Copycat,32051917.0,5170522.0,6.1989712063888325,78.0,54.0,6.6,50845.0,1995,10.0,,10.701801,6.5,199.0
22,tt0112401,Assassins,30303072.0,9378637.0,3.231074195536089,15.0,,6.3,73701.0,1995,10.0,50000000.0,11.065939,6.0,394.0
23,tt0114168,Powder,30862156.0,7146973.0,4.318213598960007,50.0,,6.6,27345.0,1995,10.0,,12.133094,6.3,143.0
24,tt0113627,Leaving Las Vegas,32029928.0,70864.0,451.9915330774441,90.0,82.0,7.5,107894.0,1995,10.0,3600000.0,10.332025,7.1,365.0
25,tt0114057,Othello,2844379.0,29097.0,97.75506065917449,67.0,,6.9,8665.0,1995,12.0,,1.8458990000000002,7.0,33.0
26,tt0114011,Now and Then,27112329.0,7440173.0,3.6440455080815997,28.0,,6.8,25419.0,1995,10.0,12000000.0,8.681325,6.6,91.0
27,tt0114117,Persuasion,5269757.0,30986.0,170.068966630091,86.0,,7.7,8758.0,1995,9.0,,2.228434,7.4,36.0
28,tt0112682,The City of Lost Children,1738611.0,34348.0,50.61753231629207,79.0,73.0,7.6,62141.0,1995,5.0,18000000.0,9.822422999999999,7.6,308.0
29,tt0115012,Shanghai Triad,2086101.0,209098.0,9.97666644348583,87.0,,7.1,4868.0,1995,4.0,,1.1009149999999999,6.5,17.0
30,tt0112792,Dangerous Minds,84919401.0,14931503.0,5.687264101946067,28.0,47.0,6.5,45514.0,1995,8.0,,9.481338000000001,6.4,249.0
31,tt0114746,12 Monkeys,57141459.0,184776.0,309.24719119366154,89.0,74.0,8.0,546302.0,1995,12.0,29500000.0,12.297305,7.4,2470.0
32,tt0114952,Wings of Courage,15054636.0,,,,,6.4,584.0,1995,9.0,,0.745542,6.8,4.0
33,tt0112431,Babe,63658910.0,8742545.0,7.28150784468367,97.0,83.0,6.7,110817.0,1995,7.0,30000000.0,14.404764000000002,6.0,756.0
34,tt0112637,Carrington,3242342.0,151722.0,21.37028249034418,52.0,,6.8,4877.0,1995,11.0,,1.4933610000000002,6.4,16.0
35,tt0112818,Dead Man Walking,39363635.0,118266.0,332.8398271692625,95.0,80.0,7.5,84009.0,1995,12.0,11000000.0,6.891317,7.3,350.0
36,tt0112286,Across the Sea of Time,16015639.0,,,,,6.4,224.0,1995,10.0,,0.114469,3.5,2.0
37,tt0113442,It Takes Two,19474589.0,5564147.0,3.500013389293992,8.0,45.0,5.8,18814.0,1995,11.0,,7.7777350000000025,6.1,149.0
38,tt0112697,Clueless,56631572.0,10612443.0,5.336336977263388,68.0,68.0,6.8,161618.0,1995,7.0,12000000.0,9.882383,6.9,828.0
39,tt0112749,"Cry, the Beloved Country",670727.0,,,85.0,71.0,6.8,1623.0,1995,12.0,,0.894647,6.7,13.0
40,tt0114279,Richard III,2684904.0,91915.0,29.210727302398954,94.0,,7.4,13051.0,1995,12.0,,4.561387,6.9,50.0
41,tt0112819,Dead Presidents,24147179.0,7943778.0,3.0397600486821257,44.0,,6.9,18283.0,1995,10.0,10000000.0,9.87957,6.6,80.0
42,tt0114272,Restoration,4005941.0,75514.0,53.04898429430304,70.0,66.0,6.6,8509.0,1995,12.0,19000000.0,10.979269,6.3,30.0
43,tt0113855,Mortal Kombat,70454098.0,23283887.0,3.025873557967362,47.0,58.0,5.8,95528.0,1995,8.0,18000000.0,10.870138,5.4,452.0
44,tt0114681,To Die For,21284514.0,386510.0,55.068469121109416,88.0,86.0,6.8,40979.0,1995,5.0,20000000.0,10.448481,6.7,177.0
45,tt0113347,How to Make an American Quilt,23600020.0,5790445.0,4.075683302405946,61.0,,6.3,10116.0,1995,10.0,10000000.0,4.485958,6.5,38.0
46,tt0114369,Se7en,100125643.0,13949807.0,7.1775647505374085,81.0,65.0,8.6,1319742.0,1995,9.0,33000000.0,18.45743,8.1,5915.0
47,tt0114148,Pocahontas,141579773.0,2689714.0,52.637482275067164,55.0,58.0,6.7,156310.0,1995,6.0,55000000.0,13.280069000000001,6.7,1509.0
48,tt0114916,When Night Is Falling,919671.0,,,50.0,,6.5,6253.0,1995,5.0,,3.302524,5.9,10.0
49,tt0114814,The Usual Suspects,23341568.0,645363.0,36.16812243652022,89.0,77.0,8.5,926765.0,1995,7.0,6000000.0,16.302466,8.1,3334.0
51,tt0113819,Mighty Aphrodite,6468498.0,326494.0,19.81199654511262,77.0,59.0,7.0,36236.0,1995,9.0,15000000.0,15.899134,6.7,145.0
53,tt0112499,The Big Green,17736619.0,4688285.0,3.7831784970410287,0.0,,5.6,8574.0,1995,9.0,,5.9827639999999995,5.2,41.0
54,tt0113158,Georgia,1110104.0,55461.0,20.015939128396532,80.0,81.0,6.7,2691.0,1995,5.0,,4.093443,6.1,15.0
56,tt0113321,Home for the Holidays,17519169.0,4007717.0,4.371358806023479,63.0,56.0,6.6,10901.0,1995,11.0,,8.416802,6.3,39.0
57,tt0110877,The Postman (Il Postino),21848932.0,95310.0,229.2407092645053,93.0,81.0,7.7,30866.0,1994,9.0,,10.168436999999999,7.6,181.0
59,tt0113419,The Indian in the Cupboard,35656131.0,7716278.0,4.620897665947235,73.0,58.0,6.0,24439.0,1995,7.0,45000000.0,10.673296,5.9,136.0
60,tt0116260,Eye for an Eye,26877589.0,6968044.0,3.857264535068952,,,6.2,12244.0,1996,1.0,20000000.0,4.733526,5.8,65.0
61,tt0113862,Mr. Holland's Opus,82569971.0,14466.0,5707.864717268077,75.0,59.0,7.3,33909.0,1995,12.0,,7.137117,6.9,115.0
62,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,20109115.0,8112884.0,2.4786641840312273,31.0,,6.6,45313.0,1996,1.0,,11.700115,6.2,192.0
63,tt0118002,Two If by Sea,10658278.0,4656986.0,2.2886643850765283,11.0,,5.3,5144.0,1996,1.0,,2.174487,4.5,14.0
64,tt0115683,Bio-Dome,13427615.0,4999979.0,2.685534279243973,4.0,1.0,4.4,24788.0,1996,1.0,15000000.0,6.387469,4.4,110.0
65,tt0116839,Lawnmower Man 2: Beyond Cyberspace,2409225.0,1428658.0,1.6863553068684038,11.0,29.0,2.4,8668.0,1996,1.0,,2.49535,2.8,32.0
66,tt0114753,Two Bits,26282.0,9299.0,2.826325411334552,40.0,,6.2,3091.0,1995,10.0,,4.046208,5.4,11.0
67,tt0113149,French Twist,1026646.0,,,55.0,,6.4,4346.0,1995,2.0,,2.518051,6.0,43.0
68,tt0113118,Friday,27467564.0,6589341.0,4.168484223232642,54.0,54.0,7.3,92409.0,1995,4.0,3500000.0,14.56965,7.0,513.0
69,tt0116367,From Dusk Till Dawn,25836616.0,10240805.0,2.5229086971190253,63.0,48.0,7.2,268175.0,1996,1.0,19000000.0,15.339153,6.9,1644.0
70,tt0113010,Fair Game,11534477.0,4946332.0,2.331925353979474,12.0,13.0,4.3,11482.0,1995,11.0,50000000.0,5.912223,4.1,54.0
71,tt0113537,Kicking and Screaming,718490.0,19497.0,36.851310458019185,55.0,75.0,6.9,9436.0,1995,10.0,,3.3672760000000004,7.0,36.0
72,tt0113828,Les Misérables,740048.0,,,80.0,,7.4,3469.0,1995,3.0,,1.4794459999999998,6.6,8.0
73,tt0115644,Bed of Roses,19030691.0,6117558.0,3.1108313153712643,19.0,,6.1,7539.0,1996,1.0,,10.412194,5.1,27.0
74,tt0115676,Big Bully,2042530.0,1131094.0,1.8058004020885974,0.0,,4.6,4185.0,1996,1.0,15000000.0,2.936443,3.9,16.0
75,tt0114367,Screamers,5711695.0,2904140.0,1.9667423058117033,30.0,,6.4,23656.0,1995,9.0,20000000.0,12.758848,6.1,154.0
76,tt0113973,Nico Icon,306691.0,14763.0,20.77430061640588,88.0,,7.3,622.0,1995,2.0,,0.133893,7.3,3.0
77,tt0112744,The Crossing Guard,868979.0,71804.0,12.102097376190741,75.0,46.0,6.3,12132.0,1995,11.0,,5.756462,6.1,74.0
78,tt0116731,The Juror,22754725.0,8411178.0,2.7052958574886894,19.0,,5.7,16088.0,1996,2.0,44000000.0,6.010579,5.5,91.0
79,tt0112445,The White Balloon,924940.0,,,80.0,,7.8,5972.0,1995,1.0,,1.196256,7.5,20.0
80,tt0114660,Things to Do in Denver When You're Dead,529766.0,44108.0,12.010655663371724,33.0,46.0,6.8,24939.0,1995,12.0,8000000.0,4.486179,6.7,87.0
81,tt0112379,Antonia's Line,4228275.0,45051.0,93.85529732969302,67.0,,7.4,7745.0,1995,9.0,900000.0,2.030174,7.2,26.0
82,tt0114039,Once Upon a Time... When We Were Colored,2291255.0,75675.0,30.277568549719195,71.0,,7.2,441.0,1995,1.0,,0.252287,4.5,2.0
83,tt0113612,Last Summer in the Hamptons,801984.0,,,64.0,,6.0,341.0,1995,11.0,,0.531159,0.0,0.0
84,tt0112365,Angels and Insects,3414301.0,,,71.0,,6.8,4268.0,1995,9.0,,2.1516599999999997,6.3,17.0
